PM 1.0,PM 2.5,PM 10,temperature,gas,relative humidity,pressure,altitude,time
0,0,0,29.449921875,97101,1013.2752922735657,-0.21057334155768936,22.55049978672756,1676508674.2031236
0,0,0,29.403828125,97896,1013.270661826192,-0.17202240922081558,21.832907454823914,1676508675.3957248
0,0,0,29.3559765625,98645,1013.2754872739849,-0.2121968204341873,21.263231734574795,1676508676.5895545
0,0,0,29.3063671875,99112,1013.2755777882263,-0.21295039800401483,20.775751331013463,1676508677.782138
0,0,0,29.2596875,100239,1013.277028139297,-0.22502530845083024,20.38040546342183,1676508678.9747622
0,0,0,29.2071484375,101025,1013.2774985264448,-0.22894151774371707,20.049361620400454,1676508680.1672382
0,0,0,29.148359375,102321,1013.2781022428102,-0.2339677575730703,19.724158479959236,1676508681.3601968
0,0,0,29.08625,103844,1013.2677972476076,-0.14817320050013905,19.34720376404959,1676508682.5530322
0,0,0,29.0243359375,104753,1013.2666680819755,-0.1387722540717995,18.992445846262214,1676508683.7462122
0,0,0,28.9645703125,106013,1013.2638116943792,-0.11499116405768284,18.665023691390203,1676508684.9387896
0,0,0,28.9059765625,106484,1013.2540457048935,-0.03368320480253262,18.38547107203325,1676508686.1318212
0,0,0,28.846015625,106484,1013.2455144067063,0.03734569786124187,18.111754344153866,1676508687.3248904
0,0,0,28.7880078125,107856,1013.2278442507907,0.18446339281892654,17.880288099971363,1676508688.5175154
0,0,0,28.7333203125,108274,1013.2104227521336,0.32951285783244577,17.68054241174875,1676508689.7102594
0,0,0,28.6770703125,109192,1013.2133989022127,0.30473361943503585,17.50174960828865,1676508690.9026685
0,0,0,28.62140625,110270,1013.203171758936,0.3898844179093941,17.34392720120355,1676508692.0957506
0,0,0,28.570234375,110053,1013.2075639769592,0.3533148956484322,17.222643612540587,1676508693.2884247
0,0,0,28.5196484375,110488,1013.1987575185827,0.42663742698798357,17.173588317521997,1676508694.4812047
0,0,0,28.4696484375,110707,1013.1962387170851,0.4476090514066333,17.10916364422475,1676508695.6740153
0,0,0,28.4175,111816,1013.1936415629627,0.4692330865654937,17.07552350075772,1676508696.8664103
0,0,0,28.363984375,112643,1013.1798810213127,0.5838047936535895,16.99557925656885,1676508698.059332
0,0,0,28.31359375,114023,1013.1766727401258,0.610517459051787,16.89020895729607,1676508699.252172
0,0,0,28.265546875,113406,1013.1685386685782,0.6782433545316224,16.805593231675253,1676508700.444826
0,0,0,28.214765625,113946,1013.1735053074585,0.6368900802879474,16.705544246693975,1676508701.638685
0,0,0,28.1641796875,114726,1013.1770174064947,0.6076477081210729,16.60561541546512,1676508702.832405
0,0,0,28.11515625,115199,1013.177832757891,0.6008589565768363,16.521218382062543,1676508704.0261266
0,0,0,28.0637890625,115279,1013.1764680102965,0.6122220748772866,16.436782133567934,1676508705.2192972
0,0,0,28.011640625,116239,1013.1826280524198,0.5609326250695679,16.34728299274596,1676508706.4118214
0,0,0,27.961640625,116400,1013.1817674731869,0.568097923781693,16.278389243160408,1676508707.6053433
0,0,0,27.9114453125,117461,1013.1805674062769,0.57808985089571,16.209543424279723,1676508708.7990215
0,0,0,27.86359375,117709,1013.183296265517,0.5553689961340391,16.176539667700165,1676508709.9923558
0,0,0,27.819453125,118207,1013.1816368404928,0.5691855896364129,16.138646780447996,1676508711.1866245
0,0,0,27.777265625,118291,1013.1761754366607,0.6146580938508017,16.090690382982526,1676508712.3831906
0,0,0,27.737421875,118458,1013.1711090004587,0.6568422131382767,16.058147940563934,1676508713.576385
0,0,0,27.6989453125,119217,1013.1630275893546,0.724129945073051,16.051128830981355,1676508714.7692246
0,0,0,27.6591015625,119472,1013.1614864138344,0.7369621847264074,16.0694840380465,1676508715.9614193
