Epoch time,Latitude,Longitude,Pressure (Pa),Radiation (cps)
1682792501.623996,37.88323,-122.244479,348.69059058039306,23.0
1682792515.5421765,37.88323,-122.244479,349.5859805013189,34.0
1682792529.2748458,37.88323,-122.244479,349.4544078348937,30.6
1682792542.5473466,37.88323,-122.244479,352.45650252826437,24.6
1682792556.0219944,37.88323,-122.244479,354.7573132225034,22.0
1682792569.644605,37.88323,-122.244479,357.4163656590706,26.0
1682792583.0486794,37.884551,-122.239145,358.0672520449102,26.4
1682792596.5342605,37.884551,-122.239145,328.0095696329747,26.8
1682792609.820849,37.884551,-122.239145,355.89036839735365,26.8
1682792623.4132466,37.884551,-122.239145,360.10583393186107,22.4
1682792636.9169397,37.884551,-122.239145,199.40934648334394,24.6
1682792650.290914,37.884551,-122.239145,283.9342944377719,21.6
1682792663.8990889,37.884551,-122.239145,214.03677149514334,21.8
1682792677.3675487,37.884551,-122.239145,299.9284979891223,25.0
1682792690.6681314,37.884551,-122.239145,358.59731938869004,29.2
1682792704.7096303,37.883795,-122.238096,364.35369505669314,24.4
1682792718.193945,37.883953,-122.237965,363.879442601503,33.8
1682792731.332843,37.884035,-122.237751,365.49139773668566,32.8
1682792744.7019727,37.884126,-122.237666,365.9578928159955,23.6
1682792757.903351,37.88423,-122.23749,367.35804835974943,25.0
1682792771.4201007,37.884143,-122.237328,368.33707035831685,32.0
1682792785.0513663,37.883973,-122.237276,369.97192552196657,32.0
1682792798.4217458,37.883975,-122.23726,371.31644640597716,28.4
1682792811.9555511,37.883941,-122.236758,373.283689225419,26.0
1682792825.846606,37.883978,-122.236545,375.05498205834385,18.0
1682792839.2235434,37.88414,-122.23654,373.25085289496127,22.2
1682792852.886138,37.88414,-122.23654,375.09701539932786,25.8
1682792866.3625455,37.884003,-122.236511,342.1442144227099,23.4
1682792879.6849148,37.883601,-122.236483,367.99375844801483,31.4
1682792893.4820302,37.883676,-122.236643,378.93242094879326,37.4
1682792907.0606344,37.883388,-122.236491,240.60720322001396,38.2
1682792920.4907842,37.883246,-122.236518,339.0850173570883,40.4
1682792934.115802,37.883246,-122.236518,382.95784644785135,31.6
1682792947.7443335,37.883246,-122.236518,389.0512716384018,34.6
1682792961.2235434,37.883246,-122.236518,390.90016869007195,36.4
1682792974.9053438,37.883246,-122.236518,392.57098914472954,41.8
1682792988.5616207,37.883246,-122.236518,393.72122269644603,30.8
1682793002.4929063,37.883246,-122.236518,342.4536215772214,35.8
1682793016.1151216,37.883246,-122.236518,321.7560125448223,35.2
1682793029.8940296,37.883246,-122.236518,372.23088532912436,36.0
1682793043.7037382,37.883246,-122.236518,399.17015568681546,45.2
1682793057.5084276,37.883246,-122.236518,401.7303742417059,29.4
1682793070.9100819,37.883246,-122.236518,404.95764938794395,23.8
1682793085.0373983,37.883246,-122.236518,407.57775985181877,31.4
