PM 1.0,PM 2.5,PM 10,temperature,gas,pressure,altitude,relative humidity,time
0,0,0,22.97296875,184963,997.1564972150704,134.859347840323,18.297344441798117,1677108689.731844
0,0,0,23.0618359375,186318,997.1587383006035,134.8404458288578,18.250861697223456,1677108690.9242373
0,0,0,23.1399609375,186852,997.1641339399373,134.79493747193598,18.193539439341272,1677108692.1166008
0,0,0,23.220234375,186428,997.1642996965462,134.79353943670085,18.141471908290484,1677108693.3088465
0,0,0,23.29875,187064,997.1685365163138,134.75780503818146,18.079063307173215,1677108694.5046215
0,0,0,23.3723828125,188240,997.1716471301509,134.73156942066922,17.98566343046717,1677108695.6996834
0,0,0,23.4469921875,187490,997.1675762610553,134.76590406063886,17.928205735651837,1677108696.892376
0,0,0,23.524140625,187704,997.1677045586131,134.7648219679956,17.855537142058356,1677108698.0845525
0,0,0,23.610078125,186640,997.1736438604795,134.71472858239846,17.82430117892874,1677108699.2777033
0,0,0,23.69171875,186852,997.1706465625716,134.74000842569953,17.76212978133443,1677108700.4702764
0,0,0,23.7565625,188240,997.1695562100479,134.74920470432698,17.714423015242318,1677108701.6625366
0,0,0,23.806171875,188455,997.169471668276,134.7499177490007,17.650573710906077,1677108702.8619492
0,0,0,23.8657421875,187383,997.1701239209171,134.74441650204443,17.59749580482392,1677108704.054121
0,0,0,23.9282421875,187704,997.172117181671,134.727604906073,17.55480410396641,1677108705.2467484
0,0,0,23.991328125,187811,997.1715517244828,134.73237409256956,17.49171338220326,1677108706.4392886
0,0,0,24.0466015625,187918,997.1650102454721,134.7875464806076,17.443548966691854,1677108707.6312888
0,0,0,24.100703125,187704,997.1600223964907,134.8296153808057,17.390226846773288,1677108708.823523
0,0,0,24.150703125,188132,997.1569939305239,134.85515838494194,17.346909370121857,1677108710.017166
0,0,0,24.2028515625,188455,997.1592846399144,134.83583783863148,17.308813949736464,1677108711.210686
0,0,0,24.2591015625,188779,997.1613471926431,134.81844166640292,17.270937119992766,1677108712.4039738
0,0,0,24.2958203125,190417,997.1590705994483,134.83764312011323,17.21164616792775,1677108713.59707
0,0,0,24.3425,187918,997.1557557356193,134.8656017158872,17.152893554556016,1677108714.7898076
0,0,0,24.3555859375,188779,997.1493633033019,134.91951769698844,17.102609279684078,1677108715.983085
0,0,0,24.3575390625,190747,997.1438144123333,134.96631918603453,17.041583033811943,1677108717.1762109
0,0,0,24.3598828125,191524,997.1424330483138,134.9779701763468,16.98060866595689,1677108718.3693244
0,0,0,24.3675,191190,997.1462993136482,134.94536054276406,16.935199586024694,1677108719.5622506
0,0,0,24.387421875,189649,997.1530272267836,134.88861486717124,16.895523786235305,1677108720.7590928
0,0,0,24.4137890625,190969,997.149356145606,134.91957806762517,16.85110301252079,1677108721.9518583
0,0,0,24.4450390625,189977,997.1414821563781,134.98599039626748,16.812026841445526,1677108723.1446373
0,0,0,24.477265625,188996,997.1457828401934,134.94971668124748,16.788255762640258,1677108724.3374715
0,0,0,24.492109375,189322,997.1423026335092,134.97907014894028,16.733113691696964,1677108725.531341
0,0,1,24.5128125,190087,997.1432810233412,134.9708180058605,16.67321340465485,1677108726.7240622
0,0,1,24.5376171875,189868,997.1440358277198,134.96445167913018,16.649081877545708,1677108727.9175735
0,0,1,24.55421875,190747,997.1505112482098,134.90983551270324,16.594083415723205,1677108729.1100926
